==================================================
             SCENE HIERARCHY SCANNER              
==================================================
Handle: 0     | Name: DefaultCamera
Handle: 1     | Name: XYZCameraProxy
Handle: 8     | Name: DefaultLights
Handle: 13    | Name: Floor
Handle: 15    | Name: yaskawa
Handle: 96    | Name: conveyor#0
Handle: 157   | Name: conveyorSystem#0
Handle: 234   | Name: 20cmHighWall_L1
Handle: 384   | Name: Vision_sensor
Handle: 385   | Name: 20cmHighWall_L1#1
Handle: 2     | Name: DefaultXViewCamera
Handle: 3     | Name: DefaultYViewCamera
Handle: 4     | Name: DefaultZViewCamera
Handle: 5     | Name: DefaultNXViewCamera
Handle: 6     | Name: DefaultNYViewCamera
Handle: 7     | Name: DefaultNZViewCamera
Handle: 9     | Name: DefaultLightA
Handle: 10    | Name: DefaultLightB
Handle: 11    | Name: DefaultLightC
Handle: 12    | Name: DefaultLightD
Handle: 14    | Name: box
Handle: 16    | Name: base_link_visual
Handle: 17    | Name: joint1
Handle: 94    | Name: base_link_base
Handle: 97    | Name: conveyor__ctrlPt#0
Handle: 98    | Name: conveyor__ctrlPt0#0
Handle: 99    | Name: conveyor__ctrlPt1#0
Handle: 100   | Name: conveyor__ctrlPt2#0
Handle: 101   | Name: conveyor__ctrlPt3#0
Handle: 102   | Name: conveyor__ctrlPt4#0
Handle: 103   | Name: conveyor__ctrlPt5#0
Handle: 104   | Name: conveyor__ctrlPt6#0
Handle: 105   | Name: conveyor__ctrlPt7#0
Handle: 106   | Name: conveyor__ctrlPt8#0
Handle: 107   | Name: conveyor__ctrlPt9#0
Handle: 108   | Name: conveyor__ctrlPt10#0
Handle: 109   | Name: conveyor__ctrlPt11#0
Handle: 110   | Name: conveyor__ctrlPt12#0
Handle: 111   | Name: conveyor__ctrlPt13#0
Handle: 112   | Name: conveyor__ctrlPt14#0
Handle: 113   | Name: conveyor__ctrlPt15#0
Handle: 114   | Name: conveyor__ctrlPt16#0
Handle: 618   | Name: shape
Handle: 619   | Name: pad
Handle: 620   | Name: pad0
Handle: 621   | Name: pad1
Handle: 622   | Name: pad2
Handle: 623   | Name: pad3
Handle: 624   | Name: pad4
Handle: 625   | Name: pad5
Handle: 626   | Name: pad6
Handle: 627   | Name: pad7
Handle: 628   | Name: pad8
Handle: 629   | Name: pad9
Handle: 630   | Name: pad10
Handle: 631   | Name: pad11
Handle: 632   | Name: pad12
Handle: 633   | Name: pad13
Handle: 634   | Name: pad14
Handle: 635   | Name: pad15
Handle: 636   | Name: pad16
Handle: 637   | Name: pad17
