X(m),Y(m),Z(m)
0.022485,-0.699487,0.448029
0.02489,-0.695197,0.447059
0.027313,-0.690917,0.446089
0.029748,-0.68664,0.445118
0.032217,-0.682381,0.444148
0.03482,-0.678212,0.443181
0.037557,-0.674124,0.442218
0.040327,-0.670062,0.441256
0.043105,-0.666005,0.440292
0.045906,-0.661954,0.439331
0.048711,-0.657911,0.438367
0.051608,-0.653932,0.437408
0.054644,-0.650062,0.436456
0.057756,-0.646252,0.435509
0.060887,-0.642457,0.434562
0.064028,-0.638676,0.433614
0.067197,-0.634895,0.432668
0.07038,-0.63113,0.431722
0.073671,-0.627479,0.430783
0.077104,-0.623945,0.429857
0.080566,-0.620448,0.428932
0.084036,-0.61695,0.428007
0.087525,-0.61347,0.427083
0.091028,-0.609992,0.42616
0.094594,-0.60659,0.425242
0.098285,-0.603325,0.424339
0.102058,-0.600156,0.423445
0.10585,-0.597005,0.422554
0.109646,-0.593869,0.421661
0.113475,-0.590743,0.420771
0.117305,-0.587619,0.419881
0.121218,-0.584619,0.419002
0.125259,-0.581778,0.418144
0.129322,-0.57898,0.417289
0.133397,-0.576187,0.416436
0.137485,-0.573406,0.415583
0.141587,-0.570641,0.41473
0.145725,-0.567935,0.413884
0.149943,-0.565361,0.413055
0.154232,-0.562897,0.41224
0.158533,-0.560453,0.411428
