Time(s),X(m),Y(m),Z(m),Vx(m/s),Vy(m/s),Vz(m/s),Alpha(rad),Beta(rad),Gamma(rad),V_alpha(rad/s),V_beta(rad/s),V_gamma(rad/s)
0.0,-0.038217,-0.981794,0.503251,0.0,0.0,0.0,-0.174533,0.087266,0.0,0.0,0.0,0.0
0.05,-0.038196,-0.981687,0.503028,0.000431,0.002141,-0.004458,-0.175945,0.087428,0.000101,-0.028131,0.003237,-0.000438
0.1,-0.038184,-0.98159,0.502968,0.000242,0.001936,-0.001202,-0.176237,0.087504,2.1e-05,-0.005812,0.001511,-0.002117
0.15,-0.038178,-0.981384,0.502946,0.000114,0.004127,-0.000445,-0.176175,0.087512,-0.000243,0.001237,0.000166,-0.005164
0.2,-0.038173,-0.981052,0.50291,9.9e-05,0.006647,-0.00071,-0.176107,0.087512,-0.000653,0.001354,4e-06,-0.00809
0.25,-0.038168,-0.980592,0.50286,0.000107,0.009183,-0.001013,-0.176068,0.087515,-0.001202,0.000771,6.2e-05,-0.010899
0.3,-0.038162,-0.980007,0.50279,0.000115,0.011698,-0.001394,-0.176045,0.087518,-0.00189,0.00046,6e-05,-0.013725
0.35,-0.038156,-0.979298,0.502696,0.000123,0.014191,-0.001884,-0.176027,0.087521,-0.002719,0.000349,4.9e-05,-0.016556
0.4,-0.038149,-0.978465,0.502574,0.000135,0.016655,-0.00244,-0.176004,0.087524,-0.003686,0.000469,7.5e-05,-0.019302
0.45,-0.038141,-0.97751,0.502422,0.00015,0.019099,-0.003035,-0.175969,0.08753,-0.004787,0.000684,0.000119,-0.021955
0.5,-0.038133,-0.976433,0.502239,0.000161,0.021537,-0.00365,-0.175933,0.087536,-0.006024,0.000724,0.000108,-0.024673
0.55,-0.038125,-0.975233,0.502029,0.000171,0.024002,-0.004209,-0.175916,0.08754,-0.007398,0.000331,9.7e-05,-0.027457
0.6,-0.038116,-0.973909,0.501795,0.000183,0.026474,-0.004677,-0.175912,0.087545,-0.008911,7.7e-05,9.4e-05,-0.030245
0.65,-0.038106,-0.972462,0.501539,0.000194,0.028941,-0.005118,-0.175913,0.08755,-0.010562,-1.7e-05,9.3e-05,-0.033028
0.7,-0.038091,-0.970893,0.501261,0.000308,0.03139,-0.005565,-0.175908,0.087541,-0.012239,0.000113,-0.000179,-0.03352
0.75,-0.038064,-0.969199,0.50096,0.000524,0.033886,-0.006011,-0.175928,0.087552,-0.013888,-0.000409,0.000214,-0.033018
0.8,-0.038035,-0.967381,0.500638,0.000589,0.036357,-0.00645,-0.175955,0.087564,-0.01563,-0.000549,0.000235,-0.034897
0.85,-0.038005,-0.965441,0.500294,0.000589,0.0388,-0.006888,-0.175968,0.087559,-0.017502,-0.000242,-0.0001,-0.037455
0.9,-0.037974,-0.963378,0.499927,0.000624,0.041264,-0.007325,-0.175981,0.087558,-0.019495,-0.000265,-2.7e-05,-0.039883
0.95,-0.037941,-0.961191,0.499539,0.000658,0.043727,-0.007762,-0.175995,0.087559,-0.021609,-0.000279,2.9e-05,-0.042316
1.0,-0.037896,-0.958885,0.499128,0.000917,0.04612,-0.008229,-0.175964,0.087556,-0.023965,0.000609,-5.1e-05,-0.047062
1.05,-0.03782,-0.956458,0.498692,0.001512,0.048544,-0.008713,-0.175926,0.087555,-0.026743,0.000771,-1.5e-05,-0.055497
1.1,-0.03772,-0.953906,0.498233,0.002006,0.051047,-0.009179,-0.17593,0.087575,-0.029888,-9e-05,0.000404,-0.062902
1.15,-0.03761,-0.95123,0.497752,0.002194,0.05352,-0.009626,-0.175945,0.087596,-0.03323,-0.000319,0.00041,-0.066863
1.2,-0.037495,-0.948431,0.497248,0.002294,0.055968,-0.010071,-0.175949,0.0876,-0.036737,-7.7e-05,7.4e-05,-0.070147
1.25,-0.037375,-0.94551,0.496723,0.002395,0.058426,-0.010514,-0.175951,0.087601,-0.0404,-4.5e-05,2.6e-05,-0.073267
1.3,-0.037251,-0.942466,0.496175,0.002496,0.060885,-0.010957,-0.175953,0.087601,-0.044218,-3.5e-05,2e-06,-0.076355
1.35,-0.037115,-0.939301,0.495604,0.002707,0.063301,-0.011411,-0.175934,0.087595,-0.048065,0.000382,-0.000113,-0.076907
1.4,-0.03696,-0.936007,0.495011,0.003101,0.06587,-0.011855,-0.176001,0.087608,-0.051826,-0.001351,0.000198,-0.075348
1.45,-0.036798,-0.932588,0.494396,0.003239,0.068382,-0.012301,-0.176087,0.087575,-0.05567,-0.001667,-0.000744,-0.077027
1.5,-0.03663,-0.929048,0.493758,0.003361,0.070795,-0.012759,-0.17613,0.087549,-0.059658,-0.000824,-0.000567,-0.079831
